"icd10cm","icd10cm_str","phecode","phecode_str","exclude_range","exclude_name","leaf","rollup"
"S05.22XD","Ocular laceration and rupture with prolapse or loss of intraocular tissue, left eye, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.101S","Unspecified open wound of right eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.102S","Unspecified open wound of left eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.22XA","Ocular laceration and rupture with prolapse or loss of intraocular tissue, left eye, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.149S","Puncture wound with foreign body of unspecified eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.61XS","Penetrating wound without foreign body of right eyeball, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.60XD","Penetrating wound without foreign body of unspecified eyeball, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.111D","Laceration without foreign body of right eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.129S","Laceration with foreign body of unspecified eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.10","Unspecified open wound of eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.131D","Puncture wound without foreign body of right eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.22XS","Ocular laceration and rupture with prolapse or loss of intraocular tissue, left eye, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.20XS","Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified eye, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.22","Ocular laceration and rupture with prolapse or loss of intraocular tissue, left eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.72","Avulsion of left eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.20XA","Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified eye, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.121A","Laceration with foreign body of right eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.122A","Laceration with foreign body of left eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.142D","Puncture wound with foreign body of left eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.132","Puncture wound without foreign body of left eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.152A","Open bite of left eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.70XS","Avulsion of unspecified eye, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.129A","Laceration with foreign body of unspecified eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.72XS","Avulsion of left eye, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.30XS","Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.151","Open bite of right eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.70","Avulsion of unspecified eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.159S","Open bite of unspecified eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.101","Unspecified open wound of right eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.122D","Laceration with foreign body of left eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.152S","Open bite of left eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.102D","Unspecified open wound of left eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.101A","Unspecified open wound of right eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.32XA","Ocular laceration without prolapse or loss of intraocular tissue, left eye, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.14","Puncture wound with foreign body of eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.121S","Laceration with foreign body of right eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.21XA","Ocular laceration and rupture with prolapse or loss of intraocular tissue, right eye, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.72XA","Avulsion of left eye, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.61XD","Penetrating wound without foreign body of right eyeball, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.142A","Puncture wound with foreign body of left eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.12","Laceration with foreign body of eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.112A","Laceration without foreign body of left eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.119S","Laceration without foreign body of unspecified eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.32XD","Ocular laceration without prolapse or loss of intraocular tissue, left eye, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.152D","Open bite of left eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.122","Laceration with foreign body of left eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.20","Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.151A","Open bite of right eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.141D","Puncture wound with foreign body of right eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.131","Puncture wound without foreign body of right eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.111S","Laceration without foreign body of right eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.11","Laceration without foreign body of eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.109A","Unspecified open wound of unspecified eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.129D","Laceration with foreign body of unspecified eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.132A","Puncture wound without foreign body of left eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.151S","Open bite of right eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.141S","Puncture wound with foreign body of right eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.141","Puncture wound with foreign body of right eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.3","Ocular laceration without prolapse or loss of intraocular tissue","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.109","Unspecified open wound of unspecified eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.61","Penetrating wound without foreign body of right eyeball","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.101D","Unspecified open wound of right eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.142S","Puncture wound with foreign body of left eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.149A","Puncture wound with foreign body of unspecified eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.119A","Laceration without foreign body of unspecified eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.111","Laceration without foreign body of right eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.71XA","Avulsion of right eye, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.119","Laceration without foreign body of unspecified eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.139","Puncture wound without foreign body of unspecified eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.60XA","Penetrating wound without foreign body of unspecified eyeball, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.139S","Puncture wound without foreign body of unspecified eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.112S","Laceration without foreign body of left eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.20XD","Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified eye, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.61XA","Penetrating wound without foreign body of right eyeball, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.71","Avulsion of right eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.132D","Puncture wound without foreign body of left eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.31XD","Ocular laceration without prolapse or loss of intraocular tissue, right eye, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.112D","Laceration without foreign body of left eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.142","Puncture wound with foreign body of left eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.30XA","Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.151D","Open bite of right eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.141A","Puncture wound with foreign body of right eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.152","Open bite of left eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.109S","Unspecified open wound of unspecified eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.159","Open bite of unspecified eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.159A","Open bite of unspecified eyelid and periocular area, initial encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.129","Laceration with foreign body of unspecified eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.2","Ocular laceration and rupture with prolapse or loss of intraocular tissue","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.102","Unspecified open wound of left eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.32XS","Ocular laceration without prolapse or loss of intraocular tissue, left eye, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.159D","Open bite of unspecified eyelid and periocular area, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.21XS","Ocular laceration and rupture with prolapse or loss of intraocular tissue, right eye, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.72XD","Avulsion of left eye, subsequent encounter","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.60","Penetrating wound without foreign body of unspecified eyeball","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.1","Open wound of eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.7","Avulsion of eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.122S","Laceration with foreign body of left eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.31","Ocular laceration without prolapse or loss of intraocular tissue, right eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.132S","Puncture wound without foreign body of left eyelid and periocular area, sequela","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S01.112","Laceration without foreign body of left eyelid and periocular area","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
"S05.21","Ocular laceration and rupture with prolapse or loss of intraocular tissue, right eye","870.1","Open wound or laceration of eye or eyelid","870-879.99","injuries & poisonings","1","1"
